yourlist:M20211110A084FC58F6BBA219896F365D15F2EB442C8B28F	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
YKL152C	P00950	PMG1_YEAST	reviewed	Phosphoglycerate mutase 1 (PGAM 1) (EC 5.4.2.11) (BPG-dependent PGAM 1) (MPGM 1) (Phosphoglyceromutase 1)	GPM1 GPM YKL152C YKL607	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	247
YDL021W	Q12008	PMG2_YEAST	reviewed	Phosphoglycerate mutase 2 (PGAM 2) (EC 5.4.2.11) (BPG-dependent PGAM 2) (MPGM 2) (Phosphoglyceromutase 2)	GPM2 YDL021W D2835	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	311
YOL056W	Q12326	PMG3_YEAST	reviewed	Phosphoglycerate mutase 3 (PGAM 3) (EC 5.4.2.11) (BPG-dependent PGAM 3) (MPGM 3) (Phosphoglyceromutase 3)	GPM3 YOL056W O1236	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	303
YOR262W	Q08726	GPN2_YEAST	reviewed	GPN-loop GTPase 2 (EC 3.6.5.-) (ATP-binding domain 1 family member B homolog)	GPN2 YOR262W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	347
YLR243W	Q06543	GPN3_YEAST	reviewed	GPN-loop GTPase 3 (EC 3.6.5.-)	GPN3 YLR243W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	272
YER062C	P40106	GPP2_YEAST	reviewed	Glycerol-1-phosphate phosphohydrolase 2 (EC 3.1.3.21) ((DL)-glycerol-3-phosphatase 2) (Hyperosmolarity-responsive protein 2)	GPP2 HOR2 YER062C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	250
YDL035C	Q12361	GPR1_YEAST	reviewed	G protein-coupled receptor GPR1	GPR1 YDL035C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	961
YKR067W	P36148	GPT2_YEAST	reviewed	Glycerol-3-phosphate O-acyltransferase 2 (G-3-P acyltransferase 2) (GPAT 2) (EC 2.3.1.15) (Dihydroxyacetone phosphate acyltransferase 2) (DHAP-AT 2) (EC 2.3.1.42) (Glycerol-3-phosphate / dihydroxyacetone phosphate acyltransferase 2)	GPT2 GAT1 YKR067W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	743
YKL026C	P36014	GPX1_YEAST	reviewed	Glutathione peroxidase-like peroxiredoxin 1 (EC 1.11.1.24) (EC 1.11.1.9) (Glutathione peroxidase homolog 1) (GPx 1)	GPX1 YKL026C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	167
YBR244W	P38143	GPX2_YEAST	reviewed	Glutathione peroxidase-like peroxiredoxin 2 (EC 1.11.1.24) (Glutathione peroxidase homolog 2) (GPx 2)	GPX2 YBR244W YBR1632	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	162
YLL035W	Q07845	GRC3_YEAST	reviewed	Polynucleotide 5'-hydroxyl-kinase GRC3 (EC 2.7.1.-) (Protein GRC3)	GRC3 YLL035W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	632
YOL151W	Q12068	GRE2_YEAST	reviewed	NADPH-dependent methylglyoxal reductase GRE2 (EC 1.1.1.283) (3-methylbutanal reductase) (EC 1.1.1.265) (Genes de respuesta a estres protein 2) (Isovaleraldehyde reductase)	GRE2 YOL151W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	342
YHR104W	P38715	GRE3_YEAST	reviewed	NADPH-dependent aldose reductase GRE3 (AR) (EC 1.1.1.21) (Genes de respuesta a estres protein 3) (NADPH-dependent aldo-keto reductase GRE3) (Xylose reductase) (EC 1.1.1.-)	GRE3 YHR104W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	327
YDR517W	Q04410	GRH1_YEAST	reviewed	GRASP65 homolog protein 1	GRH1 YDR517W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	372
YJR090C	P24814	GRR1_YEAST	reviewed	SCF E3 ubiquitin ligase complex F-box protein GRR1 (F-box and leucine-rich repeat protein GRR1) (F-box/LRR-repeat protein GRR1)	GRR1 CAT80 COT2 YJR090C J1885	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1151
YBR121C	P38088	SYG_YEAST	reviewed	Glycine--tRNA ligase 1, mitochondrial (EC 6.1.1.14) (Diadenosine tetraphosphate synthetase) (Ap4A synthetase) (EC 2.7.7.-) (Glycyl-tRNA synthetase 1) (GlyRS 1) (GlyRS1)	GRS1 YBR121C YBR0917	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	690
YPR081C	Q06817	SYG2_YEAST	reviewed	Glycine--tRNA ligase 2 (EC 6.1.1.14) (Diadenosine tetraphosphate synthetase) (Ap4A synthetase) (EC 2.7.7.-) (Glycyl-tRNA synthetase 2) (GlyRS 2) (GlyRS2)	GRS2 YPR081C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	618
YCL035C	P25373	GLRX1_YEAST	reviewed	Glutaredoxin-1 (EC 1.11.1.9) (EC 2.5.1.18) (Glutathione-dependent oxidoreductase 1)	GRX1 YCL035C YCL35C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	110
YDR513W	P17695	GLRX2_YEAST	reviewed	Glutaredoxin-2 (EC 1.11.1.9) (EC 2.5.1.18) (Glutathione-dependent oxidoreductase 2) (Thioltransferase)	GRX2 TTR TTR1 YDR513W D9719.17	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	143
YER174C	P32642	GLRX4_YEAST	reviewed	Monothiol glutaredoxin-4	GRX4 YER174C SYGP-ORF64	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	244
YPL059W	Q02784	GLRX5_YEAST	reviewed	Monothiol glutaredoxin-5, mitochondrial	GRX5 YPL059W LPE13W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	150
YDL010W	Q12438	GLRX6_YEAST	reviewed	Monothiol glutaredoxin-6	GRX6 YDL010W D2890	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	231
YBR014C	P38068	GLRX7_YEAST	reviewed	Monothiol glutaredoxin-7	GRX7 GRX6 YBR014C YBR0219	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	203
YGR032W	P40989	FKS2_YEAST	reviewed	1,3-beta-glucan synthase component GSC2 (EC 2.4.1.34) (1,3-beta-D-glucan-UDP glucosyltransferase) (FK506 sensitivity protein 2) (Glucan synthase of cerevisiae protein 2)	GSC2 FKS2 GLS2 YGR032W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1895
YML048W	Q04697	GSF2_YEAST	reviewed	Glucose-signaling factor 2 (Extracellular mutant protein 6)	GSF2 ECM6 EFF2 YML048W YM9827.04	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	403
YJL101C	P32477	GSH1_YEAST	reviewed	Glutamate--cysteine ligase (EC 6.3.2.2) (Gamma-ECS) (GCS) (Gamma-glutamylcysteine synthetase)	GSH1 YJL101C J0832	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	678
YOL049W	Q08220	GSHB_YEAST	reviewed	Glutathione synthetase (GSH synthetase) (GSH-S) (EC 6.3.2.3) (Glutathione synthase)	GSH2 YOL049W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	491
YJL103C	P42950	GSM1_YEAST	reviewed	Glucose starvation modulator protein 1	GSM1 YJL103C J0824	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	618
YLR293C	P32835	GSP1_YEAST	reviewed	GTP-binding nuclear protein GSP1/CNR1 (Chromosome stability protein 17) (GTPase Ran homolog) (Genetic suppressor of PRP20-1)	GSP1 CNR1 CST17 YLR293C L8003.19	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	219
YOR185C	P32836	GSP2_YEAST	reviewed	GTP-binding nuclear protein GSP2/CNR2	GSP2 CNR2 YOR185C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	220
YFR015C	P23337	GYS1_YEAST	reviewed	Glycogen [starch] synthase isoform 1 (EC 2.4.1.11)	GSY1 YFR015C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	708
YLR258W	P27472	GYS2_YEAST	reviewed	Glycogen [starch] synthase isoform 2 (EC 2.4.1.11)	GSY2 YLR258W L8479.8	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	705
YDR221W	Q04924	GLU2B_YEAST	reviewed	Glucosidase 2 subunit beta (Alpha-glucosidase 2 subunit beta) (Alpha-glucosidase II subunit beta) (Glucosidase II subunit beta)	GTB1 YDR221W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	702
YGR102C	P53260	GATF_YEAST	reviewed	Glutamyl-tRNA(Gln) amidotransferase subunit F, mitochondrial (Glu-AdT subunit F) (EC 6.3.5.-)	GTF1 YGR102C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	183
YMR251W	Q04806	GTO3_YEAST	reviewed	Glutathione S-transferase omega-like 3 (EC 2.5.1.18)	GTO3 YMR251W YM9920.05	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	366
YML121W	Q00582	GTR1_YEAST	reviewed	GTP-binding protein GTR1	GTR1 YML121W YM7056.05	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	310
YGR163W	P53290	GTR2_YEAST	reviewed	GTP-binding protein GTR2	GTR2 YGR163W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	341
YGL181W	P40956	GTS1_YEAST	reviewed	Protein GTS1 (Protein LSR1)	GTS1 LSR1 YGL181W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	396
YIR038C	P40582	GST1_YEAST	reviewed	Glutathione S-transferase 1 (EC 2.5.1.18) (GST-I)	GTT1 YIR038C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	234
YLL060C	Q12390	GST2_YEAST	reviewed	Glutathione S-transferase 2 (EC 2.5.1.18) (GST-II)	GTT2 YLL060C L0560	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	233
YEL017W	P39996	GTT3_YEAST	reviewed	Glutathione transferase 3	GTT3 YEL017W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	337
YMR217W	P38625	GUAA_YEAST	reviewed	GMP synthase [glutamine-hydrolyzing] (EC 6.3.5.2) (GMP synthetase) (Glutamine amidotransferase)	GUA1 YMR217W YM8261.11	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	525
YDL238C	Q07729	GUAD_YEAST	reviewed	Probable guanine deaminase (Guanase) (Guanine aminase) (EC 3.5.4.3) (Guanine aminohydrolase) (GAH)	GUD1 YDL238C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	489
YLR289W	P46943	GUF1_YEAST	reviewed	Translation factor GUF1, mitochondrial (EC 3.6.5.-) (Elongation factor 4 homolog) (EF-4) (GTPase GUF1) (Ribosomal back-translocase)	GUF1 YLR289W L8003.7	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	645
YDR454C	P15454	KGUA_YEAST	reviewed	Guanylate kinase (EC 2.7.4.8) (GMP kinase)	GUK1 YDR454C D9461.39	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	187
YGL084C	P53154	GUP1_YEAST	reviewed	Membrane-bound O-acyltransferase GUP1 (Glycerol uptake protein 1)	GUP1 YGL084C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	560
YPL189W	Q08929	GUP2_YEAST	reviewed	Membrane-bound O-acyltransferase GUP2 (Glycerol uptake protein 2)	GUP2 YPL189W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	609
YGL245W	P46655	SYEC_YEAST	reviewed	Glutamate--tRNA ligase, cytoplasmic (EC 6.1.1.17) (Glutamyl-tRNA synthetase) ((c)ERS) (GluRS) (P85)	GUS1 YGL245W G0583 HRB724	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	708
YIL155C	P32191	GPDM_YEAST	reviewed	Glycerol-3-phosphate dehydrogenase, mitochondrial (GPD-M) (GPDH-M) (EC 1.1.5.3)	GUT2 YIL155C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	649
YIL041W	P40531	GVP36_YEAST	reviewed	Protein GVP36 (36 kDa Golgi vesicle protein)	GVP36 YIL041W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	326
YJL091C	P47026	GWT1_YEAST	reviewed	GPI-anchored wall transfer protein 1 (EC 2.3.-.-)	GWT1 YJL091C J0916	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	490
YMR192W	Q04322	GYL1_YEAST	reviewed	Probable GTPase-activating protein GYL1 (GYP5-like protein 1)	GYL1 APP2 YMR192W YM9646.04	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	720
YOR070C	Q08484	GYP1_YEAST	reviewed	GTPase-activating protein GYP1 (GAP for YPT1)	GYP1 YOR070C YOR29-21	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	637
YPL249C	Q12344	GYP5_YEAST	reviewed	GTPase-activating protein GYP5	GYP5 YPL249C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	894
YJL044C	P32806	GYP6_YEAST	reviewed	GTPase-activating protein GYP6 (GAP for YPT6)	GYP6 YJL044C J1202	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	458
YDL234C	P48365	GYP7_YEAST	reviewed	GTPase-activating protein GYP7 (GAP for YPT7)	GYP7 YDL234C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	746
YFL027C	P43570	GYP8_YEAST	reviewed	GTPase-activating protein GYP8	GYP8 YFL027C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	497
YJL110C	P42944	GZF3_YEAST	reviewed	Protein GZF3	GZF3 YJL110C J0806	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	551
YPR008W	Q12753	HAA1_YEAST	reviewed	Transcriptional activator HAA1	HAA1 YPR008W LPZ8W YP9531.01 YP9723.08	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	694
YFL031W	P41546	HAC1_YEAST	reviewed	Transcriptional activator HAC1	HAC1 ERN4 IRE15 IRE2 YFL031W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	238
YPR005C	Q01766	HAL1_YEAST	reviewed	Halotolerance protein HAL1	HAL1 YPR005C YP9723.05C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	294
YJL165C	P38970	HAL5_YEAST	reviewed	Serine/threonine-protein kinase HAL5 (EC 2.7.11.1) (Halotolerance protein 5)	HAL5 YJL165C J0531	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	855
YOL089C	Q12180	HAL9_YEAST	reviewed	Halotolerance protein 9	HAL9 YOL089C O0938	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1030
YJR069C	P47119	ITPA_YEAST	reviewed	Inosine triphosphate pyrophosphatase (ITPase) (Inosine triphosphatase) (EC 3.6.1.9) (Hydroxylaminopurine sensitivity protein 1) (Non-canonical purine NTP pyrophosphatase) (Non-standard purine NTP pyrophosphatase) (Nucleoside-triphosphate diphosphatase) (Nucleoside-triphosphate pyrophosphatase) (NTPase)	HAM1 YJR069C J1811	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	197
YLR256W	P0CE41	HAP1_YEAST	reviewed	Heme-responsive zinc finger transcription factor HAP1 (CYP1 activatory protein) (Heme activator protein 1)	HAP1 CYP1 YLR256W L9672.1	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1502
YGL237C	P06774	HAP2_YEAST	reviewed	Transcriptional activator HAP2	HAP2 YGL237C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	265
YBL021C	P13434	HAP3_YEAST	reviewed	Transcriptional activator HAP3 (UAS2 regulatory protein A)	HAP3 YBL021C YBL0441	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	144
YKL109W	P14064	HAP4_YEAST	reviewed	Transcriptional activator HAP4	HAP4 YKL109W YKL465	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	554
YOR358W	Q02516	HAP5_YEAST	reviewed	Transcriptional activator HAP5	HAP5 YOR358W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	242
YMR290C	Q03532	HAS1_YEAST	reviewed	ATP-dependent RNA helicase HAS1 (EC 3.6.4.13) (Helicase associated with SET1 protein 1)	HAS1 YMR290C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	505
YPL001W	Q12341	HAT1_YEAST	reviewed	Histone acetyltransferase type B catalytic subunit (EC 2.3.1.48)	HAT1 YPL001W LPA16W YP8132.12	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	374
YEL056W	P39984	HAT2_YEAST	reviewed	Histone acetyltransferase type B subunit 2	HAT2 YEL056W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	401
YCL026C-B	Q96VH4	HBN1_YEAST	reviewed	Putative nitroreductase HBN1 (EC 1.-.-.-) (Homologous to bacterial nitroreductases protein 1)	HBN1 YCL026C-B YCL027C-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	193
YKR084C	P32769	HBS1_YEAST	reviewed	Elongation factor 1 alpha-like protein	HBS1 YKR084C YKR404	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	611
YJL033W	P20448	DBP4_YEAST	reviewed	ATP-dependent RNA helicase HCA4 (EC 3.6.4.13) (DEAD box protein 4) (Helicase CA4) (Helicase UF1)	HCA4 DBP4 ECM24 YJL033W J1250	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	770
YNL281W	P53834	HCH1_YEAST	reviewed	Hsp90 co-chaperone HCH1 (High-copy Hsp90 suppressor protein 1)	HCH1 YNL281W N0589	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	153
YCR065W	P25364	HCM1_YEAST	reviewed	Forkhead transcription factor HCM1 (High-copy suppressor of calmodulin protein 1)	HCM1 YCR065W YCR65W YCR902	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	564
YLR192C	Q05775	EIF3J_YEAST	reviewed	Eukaryotic translation initiation factor 3 subunit J (eIF3j) (Eukaryotic translation initiation factor 3 30 kDa subunit) (eIF-3 30 kDa)	HCR1 YLR192C L8167.11	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	265
YKL017C	P34243	HCS1_YEAST	reviewed	DNA polymerase alpha-associated DNA helicase A (EC 3.6.4.12)	HCS1 DIP1 YKL017C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	683
YNL021W	P53973	HDA1_YEAST	reviewed	Histone deacetylase HDA1 (EC 3.5.1.98)	HDA1 YNL021W N2819	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	706
YDR295C	Q06629	HDA2_YEAST	reviewed	HDA1 complex subunit 2 (Histone deacetylase complex 1 subunit 2)	HDA2 PLO2 YDR295C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	674
YPR179C	Q06623	HDA3_YEAST	reviewed	HDA1 complex subunit 3 (Histone deacetylase complex 1 subunit 3)	HDA3 PLO1 YPR179C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	655
YNL014W	P53978	EF3B_YEAST	reviewed	Elongation factor 3B (EF-3B) (EC 3.6.4.-) (Homolog of EF-3) (Translation elongation factor 3B)	HEF3 YEF3B ZRG7 YNL014W N2846	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1044
YDR458C	Q03281	HEH2_YEAST	reviewed	Inner nuclear membrane protein HEH2 (Helix-extension-helix domain-containing protein 2)	HEH2 YDR458C D8035.2	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	663
YBL032W	P38199	HEK2_YEAST	reviewed	Heterogeneous nuclear rnp K-like protein 2 (KH domain-containing protein 1)	HEK2 KHD1 YBL032W YBL0418	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	381
YKR017C	P36113	HEL1_YEAST	reviewed	E3 ubiquitin-protein ligase HEL1 (EC 2.3.2.31) (Histone E3 ligase 1) (RING-type E3 ubiquitin transferase HEL1)	HEL1 YKR017C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	551
YDR266C	Q05580	HEL2_YEAST	reviewed	E3 ubiquitin-protein ligase HEL2 (EC 2.3.2.27) (Histone E3 ligase 2) (RING-type E3 ubiquitin transferase HEL2)	HEL2 YDR266C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	639
YDR044W	P11353	HEM6_YEAST	reviewed	Oxygen-dependent coproporphyrinogen-III oxidase (COX) (Coprogen oxidase) (Coproporphyrinogenase) (EC 1.3.3.3)	HEM13 YDR044W YD5112.02	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	328
YER014W	P40012	PPOX_YEAST	reviewed	Protoporphyrinogen oxidase (PPO) (EC 1.3.3.4)	HEM14 YER014W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	539
YOR176W	P16622	HEMH_YEAST	reviewed	Ferrochelatase, mitochondrial (EC 4.99.1.1) (Heme synthase) (Protoheme ferro-lyase)	HEM15 YOR176W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	393
YDR232W	P09950	HEM1_YEAST	reviewed	5-aminolevulinate synthase, mitochondrial (EC 2.3.1.37) (5-aminolevulinic acid synthase) (Delta-ALA synthase) (Delta-aminolevulinate synthase)	HEM1 CYD1 YDR232W YD9934.16	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	548
YDL119C	Q07534	S2538_YEAST	reviewed	Mitochondrial glycine transporter (Heme biosynthesis protein of SLC25 family) (Solute carrier family 25 member 38 homolog)	HEM25 YDL119C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	307
YGL040C	P05373	HEM2_YEAST	reviewed	Delta-aminolevulinic acid dehydratase (ALADH) (EC 4.2.1.24) (Porphobilinogen synthase)	HEM2 YGL040C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	342
YDL205C	P28789	HEM3_YEAST	reviewed	Porphobilinogen deaminase (PBG) (EC 2.5.1.61) (Hydroxymethylbilane synthase) (HMBS) (Pre-uroporphyrinogen synthase)	HEM3 YDL205C D1057	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	327
YOR278W	P06174	HEM4_YEAST	reviewed	Uroporphyrinogen-III synthase (UROIIIS) (UROS) (EC 4.2.1.75) (Hydroxymethylbilane hydrolyase [cyclizing]) (Uroporphyrinogen-III cosynthase)	HEM4 ORF1 YOR278W O5463	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	275
YOR227W	Q12276	HER1_YEAST	reviewed	HMG2-induced ER-remodeling protein 1	HER1 YOR227W YOR50-17	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1246
YMR293C	Q03557	GATA_YEAST	reviewed	Glutamyl-tRNA(Gln) amidotransferase subunit A, mitochondrial (Glu-AdT subunit A) (EC 6.3.5.7) (HMG2-induced ER-remodeling protein 2) (Loss of respiratory capacity protein 6)	HER2 GEP6 LRC6 YMR293C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	464
YOR237W	P35843	HES1_YEAST	reviewed	Protein HES1 (Oxysterol-binding protein homolog 5)	HES1 OSH5 YOR237W O5234	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	434
YMR207C	P32874	HFA1_YEAST	reviewed	Acetyl-CoA carboxylase, mitochondrial (ACC) (EC 6.4.1.2) [Includes: Biotin carboxylase (EC 6.3.4.14)]	HFA1 YMR207C YM8261.01C YM8325.08C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	2273
YMR110C	Q04458	HFD1_YEAST	reviewed	Fatty aldehyde dehydrogenase HFD1 (EC 1.2.1.3) (EC 1.2.1.64) (Hexadecenal dehydrogenase)	HFD1 YMR110C YM9718.09C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	532
YPL254W	Q12060	HFI1_YEAST	reviewed	Transcriptional coactivator HFI1/ADA1	HFI1 ADA1 SUP110 YPL254W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	488
YKR051W	P36142	TM184_YEAST	reviewed	Transmembrane protein 184 homolog YKR051W	YKR051W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	418
YGL251C	P51979	HFM1_YEAST	reviewed	ATP-dependent DNA helicase MER3 (EC 3.6.4.12) (Protein HFM1)	HFM1 MER3 YGL251C NRE1046	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1187
YGR187C	P48362	HGH1_YEAST	reviewed	Protein HGH1 (HMG1/2 protein homolog)	HGH1 YGR187C G7538	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	394
YBR009C,YNL030W	P02309	H4_YEAST	reviewed	Histone H4	HHF1 YBR009C YBR0122; HHF2 YNL030W N2752	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	103
YPL127C	P53551	H1_YEAST	reviewed	Histone H1	HHO1 YPL127C LPI17C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	258
YBR010W,YNL031C	P61830	H3_YEAST	reviewed	Histone H3	HHT1 YBR010W YBR0201; HHT2 SIN2 YNL031C N2749	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	136
YLL022C	Q12373	HIF1_YEAST	reviewed	HAT1-interacting factor 1	HIF1 YLL022C L1205	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	385
YDR317W	Q06674	HIM1_YEAST	reviewed	Protein HIM1 (High induction of mutagenesis protein 1)	HIM1 YDR317W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	414
YGR191W	P06775	HIP1_YEAST	reviewed	Histidine permease	HIP1 YGR191W G7572	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	603
YBL008W	P32479	HIR1_YEAST	reviewed	Protein HIR1 (Histone transcription regulator 1)	HIR1 YBL008W YBL0318	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	840
