Complex ID;Size;List of proteins;Quantitative prediction 0;Average abundance;Average size of simulated complexes;Best matching reference complex;Matching thr;Length of reference complex;P-value matching;Fraction of fictitious domains;Functional Enrichment (DAVID)
2183;3;P11940,Q15366,Q15365;0;0;0;PABPC1-HSPA8-HNRPD-EIF4G1 complex;0.0667;5;0.010128217436078352;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P11940,Q15366,Q15365&tool=chartReport&annot=GOTERM_MF_ALL
2184;3;P11532,Q14118,Q13424;4;4.0000;0.7500;Beta-dystroglycan-caveolin-3 complex;0.1667;2;0.004059536194543863;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P11532,Q14118,Q13424&tool=chartReport&annot=GOTERM_MF_ALL
2185;3;P55060,P62826,Q92973;4;4.0000;2.2500;RANBP1-RAN-KPNB1 complex;0.1111;3;0.0060851778158371415;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P55060,P62826,Q92973&tool=chartReport&annot=GOTERM_MF_ALL
2186;3;O14980,P62826,P63241;1;1.0000;3.0000;Snurportin-CRM1-RanGTP complex;0.4444;3;8.25295195103513e-06;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=O14980,P62826,P63241&tool=chartReport&annot=GOTERM_MF_ALL
2187;3;P02511,P35222,Q9Y265;0;0;0;Cell-cell junction complex (CDH1-CTNNB1);0.1667;2;0.004059536194543863;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P02511,P35222,Q9Y265&tool=chartReport&annot=GOTERM_MF_ALL
2188;3;P67775,Q9Y6E0,P31942;0;0;0;PPP2CA-PPP2R1A complex;0.1667;2;0.004059536194543863;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P67775,Q9Y6E0,P31942&tool=chartReport&annot=GOTERM_MF_ALL
2189;3;P14678,P62308,Q15428;0;0;0;SMN complex, U7 snRNA specific;0.1905;7;5.7666172291976726e-05;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P14678,P62308,Q15428&tool=chartReport&annot=GOTERM_MF_ALL
2190;3;P10636,P02768,P02649;2;2.0000;1.5000;;;;;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P10636,P02768,P02649&tool=chartReport&annot=GOTERM_MF_ALL
2191;3;P20339,Q12846,P20338;3;3.0000;3.0000;RAB5-EEA1 complex;0.1667;2;0.004059536194543863;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P20339,Q12846,P20338&tool=chartReport&annot=GOTERM_MF_ALL
2192;3;Q14192,P08962,P05556;1;1.0000;3.0000;ITGA4-ITGB1-CD63 complex;0.4444;3;8.25295195103513e-06;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=Q14192,P08962,P05556&tool=chartReport&annot=GOTERM_MF_ALL
2193;3;P49840,P13861,P17612;0;0;0;KCNQ1 macromolecular complex;0.1333;10;0.0001234024366453396;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P49840,P13861,P17612&tool=chartReport&annot=GOTERM_MF_ALL
2194;3;Q10567,Q9BXS5,Q00610;0;0;0;AP1 adaptor complex;0.1667;8;7.68533992673372e-05;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=Q10567,Q9BXS5,Q00610&tool=chartReport&annot=GOTERM_MF_ALL
2195;3;Q12933,P61088,Q13546;0;0;0;TRAF2-TRADD complex;0.1667;2;0.004059536194543863;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=Q12933,P61088,Q13546&tool=chartReport&annot=GOTERM_MF_ALL
2196;3;Q01082,P37840,P08107;0;0;0;DJ-1-SNCA complex, high molecular weight complex;0.1667;2;0.004059536194543863;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=Q01082,P37840,P08107&tool=chartReport&annot=GOTERM_MF_ALL
2197;3;P60709,P07737,O00401;3;3.0000;3.0000;N-WASp homomer;0.3333;1;0.002031144211238908;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P60709,P07737,O00401&tool=chartReport&annot=GOTERM_MF_ALL
2198;3;Q96CS3,Q9BZV1,P55072;2;2.0000;3.0000;BRCA1-VCP complex;0.1667;2;0.004059536194543863;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=Q96CS3,Q9BZV1,P55072&tool=chartReport&annot=GOTERM_MF_ALL
2199;3;Q66K89,P39687,P62805;0;0;0;Histone H3.3 complex;0.0370;9;0.01818137443276242;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=Q66K89,P39687,P62805&tool=chartReport&annot=GOTERM_MF_ALL
2200;3;P30101,P05067,P27797;0;0;0;Calreticulin oligomer complex;0.3333;1;0.002031144211238908;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P30101,P05067,P27797&tool=chartReport&annot=GOTERM_MF_ALL
2201;3;P46060,P62826,Q92973;1;1.0000;3.0000;RANBP1-RAN-KPNB1 complex;0.1111;3;0.0060851778158371415;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P46060,P62826,Q92973&tool=chartReport&annot=GOTERM_MF_ALL
2202;3;Q15428,P62306,P62304;1;1.0000;3.0000;(E.F.G) complex;0.4444;3;8.25295195103513e-06;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=Q15428,P62306,P62304&tool=chartReport&annot=GOTERM_MF_ALL
2203;3;P19525,Q08211,P05198;3;3.0000;3.0000;GammaH2AFX-NDHII-Ku70-DNA complex;0.1111;3;0.0060851778158371415;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P19525,Q08211,P05198&tool=chartReport&annot=GOTERM_MF_ALL
2204;3;P04792,P02511,P99999;44;44.0000;0.0682;Apoptosome;0.1667;2;0.004059536194543863;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P04792,P02511,P99999&tool=chartReport&annot=GOTERM_MF_ALL
2205;3;P11940,Q14103,Q15365;0;0;0;PABPC1-HSPA8-HNRPD-EIF4G1 complex;0.2667;5;2.7484960940296434e-05;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P11940,Q14103,Q15365&tool=chartReport&annot=GOTERM_MF_ALL
2206;3;Q9UHD8,Q15019,Q14141;1;1.0000;3.0000;Septin complex;0.2667;5;2.7484960940296434e-05;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=Q9UHD8,Q15019,Q14141&tool=chartReport&annot=GOTERM_MF_ALL
2207;3;P12956,P61956,P09874;0;0;0;WRN-Ku70-Ku80-PARP1 complex;0.3333;4;1.649844023311819e-05;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P12956,P61956,P09874&tool=chartReport&annot=GOTERM_MF_ALL
2208;3;P28482,P62136,P30086;4;4.0000;1.5000;PNUTS-PP1 complex;0.1667;2;0.004059536194543863;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P28482,P62136,P30086&tool=chartReport&annot=GOTERM_MF_ALL
2209;3;Q9Y263,P55072,Q9UNN5;1;1.0000;3.0000;BRCA1-VCP complex;0.1667;2;0.004059536194543863;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=Q9Y263,P55072,Q9UNN5&tool=chartReport&annot=GOTERM_MF_ALL
2210;3;Q14203,P20340,Q14204;3;3.0000;2.0000;CDC5L complex;0.0111;30;0.059744682812294066;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=Q14203,P20340,Q14204&tool=chartReport&annot=GOTERM_MF_ALL
2211;3;O14974,Q16082,Q09013;0;0;0;MRIP-MBS complex;0.1667;2;0.004059536194543863;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=O14974,Q16082,Q09013&tool=chartReport&annot=GOTERM_MF_ALL
2212;3;P07737,O00401,P60953;2;2.0000;3.0000;N-WASp homomer;0.3333;1;0.002031144211238908;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P07737,O00401,P60953&tool=chartReport&annot=GOTERM_MF_ALL
2213;3;Q9UER7,P84243,P62805;0;0;0;DAXX-AXIN complex;0.1667;2;0.004059536194543863;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=Q9UER7,P84243,P62805&tool=chartReport&annot=GOTERM_MF_ALL
2214;3;P23258,P38398,P62136;0;0;0;BRCA1-RAD51 complex;0.1667;2;0.004059536194543863;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P23258,P38398,P62136&tool=chartReport&annot=GOTERM_MF_ALL
2215;3;O00330,P10515,P09622;5;5.0000;3.0000;;;;;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=O00330,P10515,P09622&tool=chartReport&annot=GOTERM_MF_ALL
2216;3;P49755,Q15363,Q9BVK6;6;6.0000;3.0000;;;;;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P49755,Q15363,Q9BVK6&tool=chartReport&annot=GOTERM_MF_ALL
2217;3;Q04206,P09429,Q96EY1;0;0;0;p50-p65 NF(kappa)B complex;0.1667;2;0.004059536194543863;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=Q04206,P09429,Q96EY1&tool=chartReport&annot=GOTERM_MF_ALL
2218;3;O00330,P10515,Q15118;5;5.0000;1.2000;;;;;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=O00330,P10515,Q15118&tool=chartReport&annot=GOTERM_MF_ALL
2219;3;P10644,P13861,P17612;5;5.0000;3.0000;KCNQ1 macromolecular complex;0.1333;10;0.0001234024366453396;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P10644,P13861,P17612&tool=chartReport&annot=GOTERM_MF_ALL
2220;3;P63279,Q9UBT2,Q9UBE0;0;0;0;SUA1-UBA2 complex;0.6667;2;2.7522279285073255e-06;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P63279,Q9UBT2,Q9UBE0&tool=chartReport&annot=GOTERM_MF_ALL
2221;3;Q13683,P08962,P05556;0;0;0;ITGA4-ITGB1-CD63 complex;0.4444;3;8.25295195103513e-06;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=Q13683,P08962,P05556&tool=chartReport&annot=GOTERM_MF_ALL
2222;3;P67775,P30153,P63151;0;0;0;PPP2CA-PPP2R1A complex;0.6667;2;2.7522279285073255e-06;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P67775,P30153,P63151&tool=chartReport&annot=GOTERM_MF_ALL
2223;3;O94826,P07900,P68400;0;0;0;Casein kinase II (beta-dimer, alpha-dimer);0.1667;2;0.004059536194543863;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=O94826,P07900,P68400&tool=chartReport&annot=GOTERM_MF_ALL
2224;3;O14964,Q92783,Q00610;2;2.0000;3.0000;RIN1-STAM2-HRS complex;0.1111;3;0.0060851778158371415;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=O14964,Q92783,Q00610&tool=chartReport&annot=GOTERM_MF_ALL
2225;3;Q15370,Q86VP6,P62877;0;0;0;CAND1-CUL4B-RBX1 complex;0.4444;3;8.25295195103513e-06;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=Q15370,Q86VP6,P62877&tool=chartReport&annot=GOTERM_MF_ALL
2226;3;P61925,P13861,P17612;1;1.0000;3.0000;KCNQ1 macromolecular complex;0.1333;10;0.0001234024366453396;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P61925,P13861,P17612&tool=chartReport&annot=GOTERM_MF_ALL
2227;3;P31946,P25705,O75643;0;0;0;BRAF-RAF1-14-3-3 complex;0.0370;9;0.01818137443276242;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P31946,P25705,O75643&tool=chartReport&annot=GOTERM_MF_ALL
2228;3;Q9UJY1,Q16082,Q9UBY9;4;4.0000;0.7500;;;;;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=Q9UJY1,Q16082,Q9UBY9&tool=chartReport&annot=GOTERM_MF_ALL
2229;3;Q13617,P55072,Q9UNN5;0;0;0;BRCA1-VCP complex;0.1667;2;0.004059536194543863;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=Q13617,P55072,Q9UNN5&tool=chartReport&annot=GOTERM_MF_ALL
2230;3;Q9P2M7,P61981,Q92538;0;0;0;BRAF-RAF1-14-3-3 complex;0.0370;9;0.01818137443276242;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=Q9P2M7,P61981,Q92538&tool=chartReport&annot=GOTERM_MF_ALL
2231;3;Q96CS3,P55072,Q9UNN5;2;2.0000;3.0000;BRCA1-VCP complex;0.1667;2;0.004059536194543863;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=Q96CS3,P55072,Q9UNN5&tool=chartReport&annot=GOTERM_MF_ALL
2232;3;O14641,O95817,P08107;0;0;0;N-NOS-CHIP-HSP70-1 complex;0.1111;3;0.0060851778158371415;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=O14641,O95817,P08107&tool=chartReport&annot=GOTERM_MF_ALL
2233;3;O00330,Q15120,P10515;0;0;0;;;;;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=O00330,Q15120,P10515&tool=chartReport&annot=GOTERM_MF_ALL
2234;3;O94973,O43747,Q00610;0;0;0;AP1G1-PACS1-FURIN complex;0.1111;3;0.0060851778158371415;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=O94973,O43747,Q00610&tool=chartReport&annot=GOTERM_MF_ALL
2235;3;P14678,P31946,O75643;0;0;0;JBP1-pICln complex;0.1111;3;0.0060851778158371415;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P14678,P31946,O75643&tool=chartReport&annot=GOTERM_MF_ALL
2236;3;Q15599,P06396,O43707;4;4.0000;1.5000;Prune-Gelsolin complex;0.1667;2;0.004059536194543863;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=Q15599,P06396,O43707&tool=chartReport&annot=GOTERM_MF_ALL
2237;3;P46379,O43765,P11142;0;0;0;DNAJB2-HSPA8-PSMA3 complex;0.1111;3;0.0060851778158371415;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P46379,O43765,P11142&tool=chartReport&annot=GOTERM_MF_ALL
2238;3;P62249,P23396,P63244;1;1.0000;3.0000;G protein complex (GNG2, GNB2L1, RAF1);0.1111;3;0.0060851778158371415;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P62249,P23396,P63244&tool=chartReport&annot=GOTERM_MF_ALL
2239;3;Q04917,P48729,P27348;0;0;0;BRAF-RAF1-14-3-3 complex;0.1481;9;9.876673132996682e-05;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=Q04917,P48729,P27348&tool=chartReport&annot=GOTERM_MF_ALL
2240;3;O15143,P61158,O15511;6;6.0000;1.0000;Arp2/3 protein complex;0.4286;7;6.530710338831056e-08;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=O15143,P61158,O15511&tool=chartReport&annot=GOTERM_MF_ALL
2241;3;Q04917,P61981,O75643;0;0;0;BRAF-RAF1-14-3-3 complex;0.1481;9;9.876673132996682e-05;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=Q04917,P61981,O75643&tool=chartReport&annot=GOTERM_MF_ALL
2242;3;P18031,P46108,Q07666;1;1.0000;3.0000;CRKII-C3G complex;0.1667;2;0.004059536194543863;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P18031,P46108,Q07666&tool=chartReport&annot=GOTERM_MF_ALL
2243;3;Q96CS3,Q04323,P55072;1;1.0000;3.0000;BRCA1-VCP complex;0.1667;2;0.004059536194543863;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=Q96CS3,Q04323,P55072&tool=chartReport&annot=GOTERM_MF_ALL
2244;3;Q16401,Q13200,P54578;0;0;0;PA700 complex;0.0667;20;0.0005186690151101926;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=Q16401,Q13200,P54578&tool=chartReport&annot=GOTERM_MF_ALL
2245;3;P61160,O15143,P61158;7;7.0000;3.0000;Arp2/3 protein complex;0.4286;7;6.530710338831056e-08;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P61160,O15143,P61158&tool=chartReport&annot=GOTERM_MF_ALL
2246;3;P13569,P27824,P25685;0;0;0;CFTR-NHERF-beta(2)AR signaling complex;0.1111;3;0.0060851778158371415;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P13569,P27824,P25685&tool=chartReport&annot=GOTERM_MF_ALL
2247;3;Q07960,P61586,Q9NZN5;1;1.0000;3.0000;MRIP-RHOA complex;0.1667;2;0.004059536194543863;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=Q07960,P61586,Q9NZN5&tool=chartReport&annot=GOTERM_MF_ALL
2248;3;Q04323,P55072,Q92890;3;3.0000;1.0000;Membrane protein complex (VCP, UFD1L, SEC61B);0.4444;3;8.25295195103513e-06;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=Q04323,P55072,Q92890&tool=chartReport&annot=GOTERM_MF_ALL
2249;3;P68400,P20042,P24534;0;0;0;Casein kinase II (beta-dimer, alpha-dimer);0.1667;2;0.004059536194543863;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P68400,P20042,P24534&tool=chartReport&annot=GOTERM_MF_ALL
2250;3;Q8WUI4,P61981,P62258;2;2.0000;1.5000;HSF1-YWHAE complex;0.1667;2;0.004059536194543863;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=Q8WUI4,P61981,P62258&tool=chartReport&annot=GOTERM_MF_ALL
2251;3;Q99714,P05067,P02647;0;0;0;Amyloid beta protein oligomer;0.3333;1;0.002031144211238908;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=Q99714,P05067,P02647&tool=chartReport&annot=GOTERM_MF_ALL
2252;3;O00214,P02751,P05556;0;0;0;ITGA5-ITGB1-FN-1-NOV complex;0.3333;4;1.649844023311819e-05;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=O00214,P02751,P05556&tool=chartReport&annot=GOTERM_MF_ALL
2253;3;P34932,P11142,P31948;0;0;0;DNAJB2-HSPA8-PSMA3 complex;0.1111;3;0.0060851778158371415;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P34932,P11142,P31948&tool=chartReport&annot=GOTERM_MF_ALL
2254;3;P68400,P07910,P20042;0;0;0;Casein kinase II (beta-dimer, alpha-dimer);0.1667;2;0.004059536194543863;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P68400,P07910,P20042&tool=chartReport&annot=GOTERM_MF_ALL
2255;3;Q92841,Q92945,P09651;0;0;0;DGCR8 multiprotein complex;0.0303;11;0.022191521663926055;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=Q92841,Q92945,P09651&tool=chartReport&annot=GOTERM_MF_ALL
2256;3;O00571,O15371,Q9Y262;0;0;0;eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7);0.1111;12;0.00018082603969638982;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=O00571,O15371,Q9Y262&tool=chartReport&annot=GOTERM_MF_ALL
2257;3;P19525,Q08211,P11388;0;0;0;Toposome;0.1905;7;5.7666172291976726e-05;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P19525,Q08211,P11388&tool=chartReport&annot=GOTERM_MF_ALL
2258;3;Q9UNS2,P61201,Q9BT78;0;0;0;CNS-P53 complex;0.3333;9;1.567370481319457e-07;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=Q9UNS2,P61201,Q9BT78&tool=chartReport&annot=GOTERM_MF_ALL
2259;3;P60520,Q13501,O95817;1;1.0000;3.0000;MAP2K5-PRKCI-SQSTM1 complex;0.1111;3;0.0060851778158371415;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P60520,Q13501,O95817&tool=chartReport&annot=GOTERM_MF_ALL
2260;3;Q8TAQ2,O96019,Q9UIG0;1;1.0000;3.0000;Brg1-based SWI/SNF chromatin remodeling complex;0.3333;4;1.649844023311819e-05;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=Q8TAQ2,O96019,Q9UIG0&tool=chartReport&annot=GOTERM_MF_ALL
2261;3;P62314,Q9UHI6,Q8TEQ6;2;2.0000;3.0000;SMN complex (GEMIN5,4,3), SMN-independent intermediate;0.4444;3;8.25295195103513e-06;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P62314,Q9UHI6,Q8TEQ6&tool=chartReport&annot=GOTERM_MF_ALL
2262;3;P78527,P12956,P09874;0;0;0;NCOA6-DNA-PK-Ku-PARP1 complex;0.6000;5;1.8659172396660093e-08;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P78527,P12956,P09874&tool=chartReport&annot=GOTERM_MF_ALL
2263;3;Q04323,Q8TAT6,P55072;1;1.0000;3.0000;BRCA1-VCP complex;0.1667;2;0.004059536194543863;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=Q04323,Q8TAT6,P55072&tool=chartReport&annot=GOTERM_MF_ALL
2264;3;P62993,Q14118,P11021;0;0;0;GRB2-SHP-2 complex, PDGF stimulated;0.1667;2;0.004059536194543863;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P62993,Q14118,P11021&tool=chartReport&annot=GOTERM_MF_ALL
2265;3;Q8TEB1,Q15369,Q7L5N1;0;0;0;VHL-TCEB1-TCEB2 complex;0.1111;3;0.0060851778158371415;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=Q8TEB1,Q15369,Q7L5N1&tool=chartReport&annot=GOTERM_MF_ALL
2266;3;Q99873,P22626,P09651;0;0;0;PRMT1 complex;0.1667;2;0.002031144211238908;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=Q99873,P22626,P09651&tool=chartReport&annot=GOTERM_MF_ALL
2267;3;P60709,P07737,P36873;4;4.0000;2.2500;RIAM-profilin complex;0.1667;2;0.004059536194543863;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P60709,P07737,P36873&tool=chartReport&annot=GOTERM_MF_ALL
2268;3;P49755,Q15363,O15260;7;7.0000;2.1429;;;;;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P49755,Q15363,O15260&tool=chartReport&annot=GOTERM_MF_ALL
2269;3;P62993,Q14247,P50570;1;1.0000;3.0000;GRB2-SHP-2 complex, PDGF stimulated;0.1667;2;0.004059536194543863;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P62993,Q14247,P50570&tool=chartReport&annot=GOTERM_MF_ALL
2270;3;P20339,Q12846,P61764;2;2.0000;3.0000;RAB5-EEA1 complex;0.1667;2;0.004059536194543863;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P20339,Q12846,P61764&tool=chartReport&annot=GOTERM_MF_ALL
2271;3;Q14974,P62826,P49792;3;3.0000;3.0000;RANBP1-RAN-KPNB1 complex;0.4444;3;8.25295195103513e-06;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=Q14974,P62826,P49792&tool=chartReport&annot=GOTERM_MF_ALL
2272;3;Q14974,P49792,P52948;0;0;0;RANBP1-RAN-KPNB1 complex;0.1111;3;0.0060851778158371415;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=Q14974,P49792,P52948&tool=chartReport&annot=GOTERM_MF_ALL
2273;3;P23396,P63244,P62280;1;1.0000;3.0000;G protein complex (GNG2, GNB2L1, RAF1);0.1111;3;0.0060851778158371415;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P23396,P63244,P62280&tool=chartReport&annot=GOTERM_MF_ALL
2274;3;Q15717,Q9GZZ9,P60520;0;0;0;;;;;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=Q15717,Q9GZZ9,P60520&tool=chartReport&annot=GOTERM_MF_ALL
2275;3;O75146,Q14247,P50570;2;2.0000;3.0000;Hip1R-cortactin complex;0.6667;2;2.7522279285073255e-06;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=O75146,Q14247,P50570&tool=chartReport&annot=GOTERM_MF_ALL
2276;3;Q9BQS8,Q9GZQ8,Q14596;0;0;0;;;;;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=Q9BQS8,Q9GZQ8,Q14596&tool=chartReport&annot=GOTERM_MF_ALL
2277;3;P31946,Q9Y2A7,P11021;0;0;0;Wave-2 complex;0.0667;5;0.010128217436078352;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P31946,Q9Y2A7,P11021&tool=chartReport&annot=GOTERM_MF_ALL
2278;3;P62333,Q15008,Q13200;1;1.0000;3.0000;PA700 complex;0.1500;20;2.127145653219253e-06;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P62333,Q15008,Q13200&tool=chartReport&annot=GOTERM_MF_ALL
